Company Name,Ticker,Sector,Exchange,Market Cap
EZCORP INC CL A,EZPW,Finance,NSDQ,319.28
DIAMONDBACK EGY,FANG,Oils-Energy,NSDQ,4337.54
FARMER BROS CO,FARM,Retail-Wholesale,NSDQ,368.86
FARO TECH INC,FARO,Computer and Technology,NSDQ,720.94
FASTENAL,FAST,Retail-Wholesale,NSDQ,11606.6
FACEBOOK INC-A,FB,Computer and Technology,NSDQ,265694.59
FIRST BCP-NC,FBNC,Finance,NSDQ,336.26
FIRST COMM BCSH,FCBC,Finance,NSDQ,333.13
FIRST CASH FINL,FCFS,Finance,NSDQ,1096.36
FIRST CTZNS-NCA,FCNCA,Finance,NSDQ,3053.18
FAIRCHILD SEMI,FCS,Computer and Technology,NSDQ,1709.24
FIRST DEFIANCE,FDEF,Finance,NSDQ,352.53
FEDERAL MOGUL-A,FDML,Auto-Tires-Trucks,NSDQ,1754.65
FEI COMPANY,FEIC,Computer and Technology,NSDQ,3493.64
FRANKLIN ELEC,FELE,Industrial Products,NSDQ,1397.85
FIREEYE INC,FEYE,Computer and Technology,NSDQ,6947.44
FIRST FIN BC-OH,FFBC,Finance,NSDQ,1193.43
FLUSHING FINL,FFIC,Finance,NSDQ,590.03
FIRST FIN BK-TX,FFIN,Finance,NSDQ,2118.48
F5 NETWORKS INC,FFIV,Computer and Technology,NSDQ,9256.08
FIBROGEN INC,FGEN,Medical,NSDQ,1314.56
FIRST INTST MT,FIBK,Finance,NSDQ,1266.56
FINISH LINE-CLA,FINL,Retail-Wholesale,NSDQ,1230.39
FINANCIAL INST,FISI,Finance,NSDQ,339.71
FISERV INC,FISV,Business Services,NSDQ,20527.92
FIFTH THIRD BK,FITB,Finance,NSDQ,17124.54
FIVE BELOW INC,FIVE,Retail-Wholesale,NSDQ,2001.56
NATL BEVERAGE,FIZZ,Consumer Staples,NSDQ,1107.98
FLUIDIGM CORP,FLDM,Medical,NSDQ,370.89
FLEXTRONIC INTL,FLEX,Computer and Technology,NSDQ,6254.06
FIRST LONG IS,FLIC,Finance,NSDQ,379.57
FLIR SYSTEMS,FLIR,Aerospace,NSDQ,4353.68
FLAMEL TECH,FLML,Medical,NSDQ,836.86
1800FLOWERS.COM,FLWS,Retail-Wholesale,NSDQ,628.47
FLEXION THERAPT,FLXN,Medical,NSDQ,495.96
FIRST MIDWST BK,FMBI,Finance,NSDQ,1457.24
FIRSTMERIT CORP,FMER,Finance,NSDQ,3091.52
FOUNDATION MED,FMI,Medical,NSDQ,682.58
FIRST NBC BANK,FNBC,Finance,NSDQ,717.99
FIRST NIAGARA,FNFG,Finance,NSDQ,3459.5
FINANCIAL ENGIN,FNGN,Finance,NSDQ,2075.6
FEDERATED NATL,FNHC,Finance,NSDQ,347.31
FINISAR CORP,FNSR,Computer and Technology,NSDQ,1819.72
FOGO DE CHAO,FOGO,Retail-Wholesale,NSDQ,517.26
AMICUS THERAPT,FOLD,Medical,NSDQ,1721.88
FOAMIX PHARMA,FOMX,Medical,NSDQ,305.35
FORMFACTOR INC,FORM,Computer and Technology,NSDQ,403.57
FORRESTER RESH,FORR,Computer and Technology,NSDQ,583.39
FORMULA SYS ADR,FORTY,Computer and Technology,NSDQ,471.33
FOSSIL GRP INC,FOSL,Retail-Wholesale,NSDQ,3137.02
TWENTY-FIRST CF,FOX,Consumer Discretionary,NSDQ,62505.66
TWENTY-FST CF-A,FOXA,Consumer Discretionary,NSDQ,63143.48
FOX FACTORY HLD,FOXF,Auto-Tires-Trucks,NSDQ,605.22
FIVEPRIME THERA,FPRX,Medical,NSDQ,517.58
FRANCESCAS HLDG,FRAN,Consumer Discretionary,NSDQ,504.85
FREDS INC,FRED,Retail-Wholesale,NSDQ,574.51
FIESTA RESTRNT,FRGI,Retail-Wholesale,NSDQ,1492.88
FIRST MERCHANTS,FRME,Finance,NSDQ,989.88
FAIRPOINT COMM,FRP,Computer and Technology,NSDQ,473.63
FRESHPET INC,FRPT,Consumer Staples,NSDQ,546.58
PAPA MURPHYS HL,FRSH,Retail-Wholesale,NSDQ,339.64
FIFTH STREET FI,FSC,Finance,NSDQ,936.91
FIRST SOLAR INC,FSLR,Oils-Energy,NSDQ,5250.76
FIRSTSERVICE CP,FSV,Finance,NSDQ,1106.97
FTD COS INC,FTD,Consumer Discretionary,NSDQ,855.71
FORTINET INC,FTNT,Computer and Technology,NSDQ,7952.5
FRONTIER COMMUN,FTR,Utilities,NSDQ,6039.94
ROCKET FUEL INC,FUEL,Computer and Technology,NSDQ,323.98
FULTON FINL,FULT,Finance,NSDQ,2291.77
FORWARD PHARMA,FWP,Medical,NSDQ,1277.64
FORWARD AIR CRP,FWRD,Transportation,NSDQ,1483.88
GERMAN AMER BCP,GABC,Finance,NSDQ,388.25
SHANDA GAME-ADR,GAME,Computer and Technology,NSDQ,1824.86
GLACIER BANCORP,GBCI,Finance,NSDQ,2126.2
GOLUB CAPITAL,GBDC,Finance,NSDQ,840.14
GLOBAL INDEMNTY,GBLI,Finance,NSDQ,714.24
GUARANTY BANCRP,GBNK,Finance,NSDQ,327.81
GERON CORP,GERN,Medical,NSDQ,570.7
GRUPO GALIC ADR,GGAL,Finance,NSDQ,2739.67
GENOMIC HEALTH,GHDX,Medical,NSDQ,805.95
G-III APPAREL,GIII,Consumer Discretionary,NSDQ,3114.42
GILEAD SCIENCES,GILD,Medical,NSDQ,168570.13
G&K SVCS  A,GK,Industrial Products,NSDQ,1334.87
GREAT LAKES DRG,GLDD,Construction,NSDQ,343.68
GOLAR LNG LTD,GLNG,Transportation,NSDQ,3684.29
GALAPAGOS -ADR,GLPG,Medical,NSDQ,2311.14
GAMING AND LEIS,GLPI,Finance,NSDQ,3773.4
GREENLIGHT CAP,GLRE,Finance,NSDQ,995.99
GLU MOBILE INC,GLUU,Consumer Discretionary,NSDQ,536.69
KEURIG GREEN MT,GMCR,Consumer Staples,NSDQ,8226.56
GOLAR LNG PARTN,GMLP,Oils-Energy,NSDQ,938.37
GREEN BANCORP,GNBC,Finance,NSDQ,347.29
GENOCEA BIOSCI,GNCA,Medical,NSDQ,362.15
GENL COMMS INC,GNCMA,Utilities,NSDQ,761.26
GENMARK DIAGNST,GNMK,Medical,NSDQ,353.55
GENTEX CORP,GNTX,Auto-Tires-Trucks,NSDQ,4821.81
GOLDEN OCEAN GP,GOGL,Transportation,NSDQ,675.16
GOGO INC,GOGO,Computer and Technology,NSDQ,1427.99
RANDGOLD RSRCS,GOLD,Basic Materials,NSDQ,5617.92
GLADSTONE COMML,GOOD,Finance,NSDQ,337.03
GOOGLE INC-CL C,GOOG,Computer and Technology,NSDQ,435520.38
GOOGLE INC-CL A,GOOGL,Computer and Technology,NSDQ,455462.59
GULFPORT ENGY,GPOR,Oils-Energy,NSDQ,3536.75
GREEN PLAINS,GPRE,Basic Materials,NSDQ,756.37
GOPRO INC-A,GPRO,Consumer Discretionary,NSDQ,8378.21
GREEN BRICK PTR,GRBK,Finance,NSDQ,376.74
GRIFOLS SA-ADR,GRFS,Medical,NSDQ,8569.54
GARMIN LTD,GRMN,Computer and Technology,NSDQ,7755.82
GROUPON INC,GRPN,Retail-Wholesale,NSDQ,2987.08
GREAT SOUTH BCP,GSBC,Finance,NSDQ,569.02
GSI GROUP INC,GSIG,Computer and Technology,NSDQ,461.09
GLOBE SPECIALTY,GSM,Basic Materials,NSDQ,1031.03
GOODYEAR TIRE,GT,Auto-Tires-Trucks,NSDQ,8321.73
CHART INDUSTRIE,GTLS,Industrial Products,NSDQ,803.94
GW PHARMA-ADR,GWPH,Medical,NSDQ,2280.53
HAWAIIAN HLDGS,HA,Transportation,NSDQ,1318.45
HABIT RESTRNTS,HABT,Retail-Wholesale,NSDQ,631.87
HANMI FINL CP,HAFC,Finance,NSDQ,821.44
HAIN CELESTIAL,HAIN,Consumer Staples,NSDQ,6959.08
HALOZYME THERA,HALO,Medical,NSDQ,2687.73
HASBRO INC,HAS,Consumer Discretionary,NSDQ,9668.74
BLACKHAWK NETWK,HAWK,Finance,NSDQ,2423.06
HAYNES INTL INC,HAYN,Basic Materials,NSDQ,501.2
HUNTINGTON BANC,HBAN,Finance,NSDQ,9315.57
HANCOCK HLDG CO,HBHC,Finance,NSDQ,2258.87
HUDSON CITY BCP,HCBK,Finance,NSDQ,5422.38
HACKETT GROUP,HCKT,Business Services,NSDQ,363.79
HEALTHCARE SERV,HCSG,Business Services,NSDQ,2515.06
HORTONWORKS INC,HDP,Computer and Technology,NSDQ,1193.82
HD SUPPLY HLDGS,HDS,Industrial Products,NSDQ,6831.19
H&E EQUIP SVCS,HEES,Industrial Products,NSDQ,598.97
HELEN OF TROY,HELE,Consumer Staples,NSDQ,2596.23
HERITAGE FIN CP,HFWA,Finance,NSDQ,536.19
HIBBET SPORTS,HIBB,Retail-Wholesale,NSDQ,1098.86
DOT HILL SYS CP,HILL,Computer and Technology,NSDQ,332.41
HIMAX TECH-ADR,HIMX,Computer and Technology,NSDQ,1212.19
HARMONIC INC,HLIT,Computer and Technology,NSDQ,519.41
HOUGHTON MIFFLN,HMHC,Business Services,NSDQ,3728.24
HOME INNS&HOTEL,HMIN,Consumer Discretionary,NSDQ,1383
HAMPTON ROADS,HMPR,Finance,NSDQ,332.86
HOMESTREET INC,HMST,Finance,NSDQ,486.09
HMS HLDGS CP,HMSY,Medical,NSDQ,786.24
HANDY&HARMN LTD,HNH,Conglomerates,NSDQ,312.06
HOLLYSYS AUTOMT,HOLI,Industrial Products,NSDQ,1177.79
HOLOGIC INC,HOLX,Medical,NSDQ,11480.66
HOME BANCSHARES,HOMB,Finance,NSDQ,2746.88
HEALTHEQUITY,HQY,Medical,NSDQ,1821.38
HERON THERAPEUT,HRTX,Medical,NSDQ,1087.2
HENRY SCHEIN IN,HSIC,Medical,NSDQ,12078.39
HEIDRICK & STRG,HSII,Business Services,NSDQ,365.91
HSN INC,HSNI,Retail-Wholesale,NSDQ,3381.82
HEALTHSTREAM,HSTM,Computer and Technology,NSDQ,838.78
HOMETRUST BNCSH,HTBI,Finance,NSDQ,354.29
CHINA LODGING,HTHT,Consumer Discretionary,NSDQ,1565.65
HEARTLAND EXP,HTLD,Transportation,NSDQ,1843.34
HEARTLAND FINCL,HTLF,Finance,NSDQ,770.14
HEARTWARE INTL,HTWR,Medical,NSDQ,1504.75
HUB GROUP INC-A,HUBG,Transportation,NSDQ,1432.85
HURON CONSLT GP,HURN,Business Services,NSDQ,1688.3
HEALTHWAYS INC,HWAY,Medical,NSDQ,454.53
HAWKINS INC,HWKN,Basic Materials,NSDQ,400.95
HORIZON PHARMA,HZNP,Medical,NSDQ,5238.15
IAC/INTERACTIV,IACI,Retail-Wholesale,NSDQ,6177.47
INTEGRA LIFESCI,IART,Medical,NSDQ,2072.36
ISHARES NDQ BIO,IBB,Finance,NSDQ,9659.15
INDEP BK MICH,IBCP,Finance,NSDQ,336.51
IBERIABANK CORP,IBKC,Finance,NSDQ,2476.87
INTERACTIVE BRK,IBKR,Finance,NSDQ,2692.11
INTL BANCSHARES,IBOC,Finance,NSDQ,1812.55
INDEP BANK GRP,IBTX,Finance,NSDQ,743
ICF INTL INC,ICFI,Business Services,NSDQ,700.81
ICON PLC,ICLR,Medical,NSDQ,4898
ICONIX BRAND GP,ICON,Consumer Discretionary,NSDQ,712.21
INTERCEPT PHARM,ICPT,Medical,NSDQ,5692.07
ICU MEDICAL INC,ICUI,Medical,NSDQ,1572.91
INTERDIGITL INC,IDCC,Computer and Technology,NSDQ,1836.64
IDERA PHARMACT,IDRA,Medical,NSDQ,330.64
INTEGR DEVICE,IDTI,Computer and Technology,NSDQ,2960.89
IDEXX LABS INC,IDXX,Medical,NSDQ,7042.98
ICAHN ENTERPRIS,IEP,Conglomerates,NSDQ,9577.21
INSTEEL INDS,IIIN,Industrial Products,NSDQ,312.17
INTERNET INIT J,IIJI,Computer and Technology,NSDQ,921.22
INTERVAL LEISUR,IILG,Consumer Discretionary,NSDQ,1207.94
II-VI INCORP,IIVI,Industrial Products,NSDQ,1108.37
ILLUMINA INC,ILMN,Medical,NSDQ,30459.35
IMMUNE DESIGN,IMDZ,Medical,NSDQ,380.65
IMMUNOGEN INC,IMGN,Medical,NSDQ,1291.05
INGLES MARKET A,IMKTA,Retail-Wholesale,NSDQ,1005.15
IMMERSION CORP,IMMR,Computer and Technology,NSDQ,351.71
CHIPMOS TEC LTD,IMOS,Computer and Technology,NSDQ,463.53
INTERNAP NETWRK,INAP,Computer and Technology,NSDQ,475.48
INC RESRCH HLDG,INCR,Medical,NSDQ,2600.68
INCYTE CORP,INCY,Medical,NSDQ,18262.39
INDEP BK MASS,INDB,Finance,NSDQ,1258.24
INFINITY PHARMA,INFI,Medical,NSDQ,415.39
INFINERA CORP,INFN,Computer and Technology,NSDQ,3113.68
INOGEN INC,INGN,Medical,NSDQ,836.65
INTERACT INTELL,ININ,Computer and Technology,NSDQ,867.44
INOVIO PHARMAC,INO,Medical,NSDQ,466.05
INOVALON HLDGS,INOV,Computer and Technology,NSDQ,548.42
INSMED INC,INSM,Medical,NSDQ,1653.17
INSYS THERAP,INSY,Medical,NSDQ,2803.47
INTEL CORP,INTC,Computer and Technology,NSDQ,137324.39
INTL FCSTONE,INTL,Finance,NSDQ,514.01
INTUIT INC,INTU,Computer and Technology,NSDQ,29066.54
INNERWORKINGS,INWK,Business Services,NSDQ,416.99
INNOSPEC INC,IOSP,Basic Materials,NSDQ,1047.65
INTER PARFUMS,IPAR,Consumer Staples,NSDQ,931.08
INFINITY PPTY,IPCC,Finance,NSDQ,894.92
IPC THE HOSPITL,IPCM,Medical,NSDQ,1382.23
IPG PHOTONICS,IPGP,Computer and Technology,NSDQ,4963.96
INNOPHOS HLDGS,IPHS,Basic Materials,NSDQ,1011.34
IMPAX LABORATRS,IPXL,Medical,NSDQ,3375.01
INTELIQUENT INC,IQNT,Computer and Technology,NSDQ,595.62
IROBOT CORP,IRBT,Industrial Products,NSDQ,894.7
IRSA PROPIEDADS,IRCP,Finance,NSDQ,1023.88
IRIDIUM COMMUN,IRDM,Computer and Technology,NSDQ,640.24
IRONWOOD PHARMA,IRWD,Medical,NSDQ,1555.95
INVESTORS BANCP,ISBC,Finance,NSDQ,4395.03
INTL SPEEDWAY,ISCA,Consumer Discretionary,NSDQ,1535.92
INTERSIL CORP,ISIL,Computer and Technology,NSDQ,1458.58
ISIS PHARMACEUT,ISIS,Medical,NSDQ,5954.52
ISLE OF CAPRI,ISLE,Consumer Discretionary,NSDQ,758
INTUITIVE SURG,ISRG,Medical,NSDQ,19730.76
ISRAMCO INC,ISRL,Oils-Energy,NSDQ,372.66
INTEGR SILI SOL,ISSI,Computer and Technology,NSDQ,703.01
INTRA-CELLULAR,ITCI,Medical,NSDQ,1083.31
ITRON INC,ITRI,Computer and Technology,NSDQ,1246.97
ITURAN LOCATION,ITRN,Industrial Products,NSDQ,604.95
IXYS CORP,IXYS,Computer and Technology,NSDQ,352.91
JACK IN THE BOX,JACK,Retail-Wholesale,NSDQ,3372.14
JA SOLAR HOLDGS,JASO,Oils-Energy,NSDQ,381.58
JAZZ PHARMACEUT,JAZZ,Medical,NSDQ,11130.09
HUNT (JB) TRANS,JBHT,Transportation,NSDQ,9341.93
JETBLUE AIRWAYS,JBLU,Transportation,NSDQ,7335.17
SANFILIPPO JB&S,JBSS,Consumer Staples,NSDQ,562.53
J2 GLOBAL INC,JCOM,Computer and Technology,NSDQ,3572.62
JD.COM INC-ADR,JD,Retail-Wholesale,NSDQ,43842.45
J&J SNACK FOODS,JJSF,Consumer Staples,NSDQ,2206.67
JACK HENRY ASSC,JKHY,Computer and Technology,NSDQ,5688.95
51JOBS INC-ADR,JOBS,Consumer Staples,NSDQ,1804.94
JAMES RIVER GRP,JRVR,Finance,NSDQ,791.99
JUNO THERAPEUTC,JUNO,Medical,NSDQ,4018.76
KAISER ALUMINUM,KALU,Industrial Products,NSDQ,1446.21
IKANG HEALTHCR,KANG,Medical,NSDQ,1119.74
KIMBALL INTL  B,KBAL,Consumer Discretionary,NSDQ,433.78
KANSAS CITY LIF,KCLI,Finance,NSDQ,505.31
KIMBALL ELECTRN,KE,Computer and Technology,NSDQ,345.69
KELLY SVCS  A,KELYA,Business Services,NSDQ,532.37
KELLY SVCS B,KELYB,Business Services,NSDQ,539.99
KERYX BIOPHARMA,KERX,Medical,NSDQ,649.03
KFORCE INC,KFRC,Business Services,NSDQ,833.01
KRAFT HEINZ CO,KHC,Consumer Staples,NSDQ,95134.63
KIRKLANDS INC,KIRK,Retail-Wholesale,NSDQ,471.98
KITE PHARMA INC,KITE,Medical,NSDQ,2983.56
KLA-TENCOR CORP,KLAC,Computer and Technology,NSDQ,8371.86
KULICKE & SOFFA,KLIC,Computer and Technology,NSDQ,789.71
KLX INC,KLXI,Aerospace,NSDQ,2017.08
KANDI TECH CORP,KNDI,Consumer Discretionary,NSDQ,357.82
KARYOPHARM THER,KPTI,Medical,NSDQ,787.07
KORNIT DIGITAL,KRNT,Industrial Products,NSDQ,406.02
KEARNY FINL CP,KRNY,Finance,NSDQ,1068.09
K2M GRP HLDGS,KTWO,Medical,NSDQ,879.67
KYTHERA BIOPHRM,KYTH,Medical,NSDQ,1938.42
KONGZHONG-ADR,KZ,Computer and Technology,NSDQ,335.48
MULTI-COLOR,LABL,Industrial Products,NSDQ,1081.27
LAMAR ADVER CO,LAMR,Finance,NSDQ,5325.59
LANCASTER COLON,LANC,Consumer Staples,NSDQ,2606.85
LAKELAND BANCRP,LBAI,Finance,NSDQ,429.44
LION BIOTECH,LBIO,Medical,NSDQ,333.22
LIBERTY BRDBD-A,LBRDA,Consumer Discretionary,NSDQ,1400.79
LIBERTY BRDBD-C,LBRDK,Consumer Discretionary,NSDQ,3953.38
LIBERTY GLBL-A,LBTYA,Consumer Discretionary,NSDQ,45996.3
LIBERTY GLBL-B,LBTYB,Consumer Discretionary,NSDQ,46463.76
LIBERTY GLBL-C,LBTYK,Consumer Discretionary,NSDQ,43120.98
LDR HOLDING,LDRH,Medical,NSDQ,1116.63
LANDS END INC,LE,Retail-Wholesale,NSDQ,736.61
LINCOLN ELECTRC,LECO,Industrial Products,NSDQ,4607.42
LITTELFUSE INC,LFUS,Computer and Technology,NSDQ,2080.58
LEGACY RESERVES,LGCY,Oils-Energy,NSDQ,546.75
LGI HOMES INC,LGIH,Finance,NSDQ,464.06
LIGAND PHARMA-B,LGND,Medical,NSDQ,1851.25
LHC GROUP LLC,LHCG,Medical,NSDQ,918.52
ATYR PHARMA INC,LIFE,Medical,NSDQ,437.72
LIBERTY LILAC A,LILA,Consumer Discretionary,NSDQ,10097.8
LIBERTY LILAC C,LILAK,Consumer Discretionary,NSDQ,25835.57
LINN ENERGY LLC,LINE,Oils-Energy,NSDQ,1122.45
FIDELITY SOUTHN,LION,Finance,NSDQ,412.34
LIONBRIDGE TECH,LIOX,Computer and Technology,NSDQ,381.52
LA JOLLA PHARMA,LJPC,Medical,NSDQ,413.61
LAKELAND FINL,LKFN,Finance,NSDQ,700.29
LKQ CORP,LKQ,Auto-Tires-Trucks,NSDQ,9577.6
LIMELIGHT NETWK,LLNW,Computer and Technology,NSDQ,339.49
LINEAR TEC CORP,LLTC,Computer and Technology,NSDQ,10036.06
LIBERTY MEDIA-A,LMCA,Consumer Discretionary,NSDQ,12992.67
LIBERTY MEDIA-B,LMCB,Consumer Discretionary,NSDQ,13081.29
LIBERTY MEDIA-C,LMCK,Consumer Discretionary,NSDQ,8522.41
LUMENIS LTD,LMNS,Medical,NSDQ,499.53
LUMINEX CORP,LMNX,Medical,NSDQ,834.66
SNYDERS-LANCE,LNCE,Consumer Staples,NSDQ,2323.38
LINN CO LLC,LNCO,Oils-Energy,NSDQ,401.06
LANDEC CORP,LNDC,Basic Materials,NSDQ,353.55
LIVE OAK BNCSH,LOB,Finance,NSDQ,676.13
EL POLLO LOCO,LOCO,Retail-Wholesale,NSDQ,707.88
LOGITECH INTL,LOGI,Computer and Technology,NSDQ,2321.84
LOGMEIN INC,LOGM,Computer and Technology,NSDQ,1769.93
ELONG INC-ADR,LONG,Computer and Technology,NSDQ,611.66
GRAND CANYON ED,LOPE,Consumer Discretionary,NSDQ,1980.41
LORAL SPACE&COM,LORL,Computer and Technology,NSDQ,1893.23
LOXO ONCOLOGY,LOXO,Medical,NSDQ,342.42
LPL FINL HLDGS,LPLA,Finance,NSDQ,4154.58
LIFEPOINT HOSP,LPNT,Medical,NSDQ,3621.11
LIVEPERSON INC,LPSN,Computer and Technology,NSDQ,524.87
LAM RESEARCH,LRCX,Computer and Technology,NSDQ,11480.82
LATTICE SEMICON,LSCC,Computer and Technology,NSDQ,482.4
LANDSTAR SYSTEM,LSTR,Transportation,NSDQ,3034.2
LIBERTY TRIP-A,LTRPA,Computer and Technology,NSDQ,1956.14
LEGACY TX FINL,LTXB,Finance,NSDQ,1413.33
LULULEMON ATHLT,LULU,Consumer Discretionary,NSDQ,8821.92
LIBERTY VENTR-A,LVNTA,Retail-Wholesale,NSDQ,5557.28
LIBERTY VENTR-B,LVNTB,Retail-Wholesale,NSDQ,6185.9
LEXICON PHARMA,LXRX,Medical,NSDQ,1179.13
MERRIMACK PHAR,MACK,Medical,NSDQ,1047.43
MANHATTAN ASOC,MANH,Computer and Technology,NSDQ,4725.05
MANTECH INTL -A,MANT,Computer and Technology,NSDQ,1107.06
MARRIOTT INTL-A,MAR,Consumer Discretionary,NSDQ,18976.43
MASIMO CORP,MASI,Medical,NSDQ,2165.49
MATTEL INC,MAT,Consumer Discretionary,NSDQ,7727.15
MATTHEWS INTL-A,MATW,Consumer Staples,NSDQ,1751.32
MB FINANCL INC,MBFI,Finance,NSDQ,2534.02
MALIBU BOATS-A,MBUU,Consumer Discretionary,NSDQ,337.73
MERCANTILE BANK,MBWM,Finance,NSDQ,337.72
MICROCHIP TECH,MCHP,Computer and Technology,NSDQ,8816.85
SERES THERAPEUT,MCRB,Medical,NSDQ,1515.25
MONARCH CASINO,MCRI,Consumer Discretionary,NSDQ,317.79
MEDASSETS INC,MDAS,Medical,NSDQ,1235.44
MDC PTNRS INC,MDCA,Business Services,NSDQ,978.57
MEDICINES CO,MDCO,Medical,NSDQ,1982.26
MONDELEZ INTL,MDLZ,Consumer Staples,NSDQ,74297.37
MTN PROV DMND,MDM,Basic Materials,NSDQ,538.89
ALLSCRIPTS HLTH,MDRX,Medical,NSDQ,2631.48
MEDIDATA SOLUTN,MDSO,Medical,NSDQ,2823.41
MEDIVATION INC,MDVN,Medical,NSDQ,8082.66
MIMEDX GRP INC,MDXG,Medical,NSDQ,1029.22
MERCADOLIBRE IN,MELI,Retail-Wholesale,NSDQ,5348.94
MEMORIAL PRODUC,MEMP,Oils-Energy,NSDQ,630.79
MENTOR GRAPHICS,MENT,Computer and Technology,NSDQ,3011.03
METHANEX CORP,MEOH,Basic Materials,NSDQ,4092.52
MERCER INTL SBI,MERC,Basic Materials,NSDQ,781.76
METRO BANCORP,METR,Finance,NSDQ,423.91
MULTI-FINELINE,MFLX,Computer and Technology,NSDQ,418.75
MATTRESS FIRM,MFRM,Retail-Wholesale,NSDQ,2181.95
MGE ENERGY INC,MGEE,Utilities,NSDQ,1373.2
MONEYGRAM INTL,MGI,Finance,NSDQ,520.76
MAGELLAN HLTH,MGLN,Medical,NSDQ,1591.01
MACROGENICS INC,MGNX,Medical,NSDQ,1148.41
MCGRATH RENTCOR,MGRC,Finance,NSDQ,633.22
MAIDEN HOLDINGS,MHLD,Finance,NSDQ,1203.94
MIDDLEBY CORP,MIDD,Industrial Products,NSDQ,7026.57
MICHAELS COS,MIK,Retail-Wholesale,NSDQ,5278.53
MOBILE MINI INC,MINI,Industrial Products,NSDQ,1586.83
MITEL NETWORKS,MITL,Computer and Technology,NSDQ,1051.08
MKS INSTRUMENTS,MKSI,Computer and Technology,NSDQ,1902.71
MARKETO INC,MKTO,Computer and Technology,NSDQ,1230.45
MARKETAXESS HLD,MKTX,Finance,NSDQ,3639.17
MESA LABS INC,MLAB,Medical,NSDQ,416.75
HERMAN MILLER,MLHR,Business Services,NSDQ,1670.08
MELLANOX TECH,MLNX,Computer and Technology,NSDQ,2000.68
MARTIN MIDSTRM,MMLP,Transportation,NSDQ,967.62
MERIT MEDICAL,MMSI,Medical,NSDQ,1106.89
MAKEMYTRIP LTD,MMYT,Computer and Technology,NSDQ,572.28
MANNKIND CORP,MNKD,Medical,NSDQ,1630.12
MONRO MUFFLER,MNRO,Consumer Discretionary,NSDQ,2083.01
MONSTER BEVERAG,MNST,Consumer Staples,NSDQ,30469.02
MOMENTA PHARMA,MNTA,Medical,NSDQ,1428.77
MOBILE IRON INC,MOBL,Computer and Technology,NSDQ,388.4
MIDWESTONE FINL,MOFG,Finance,NSDQ,355.98
MOMO INC -ADR,MOMO,Computer and Technology,NSDQ,2974.32
MORNINGSTAR INC,MORN,Business Services,NSDQ,3790.2
MOTORCAR PARTS,MPAA,Auto-Tires-Trucks,NSDQ,547.82
MELCO CROWN ENT,MPEL,Consumer Discretionary,NSDQ,12694.04
MONOLITHIC PWR,MPWR,Computer and Technology,NSDQ,2032.72
MERCURY SYSTEMS,MRCY,Computer and Technology,NSDQ,510.23
MEMORIAL RESRC,MRD,Oils-Energy,NSDQ,3374.85
MERGE HEALTHCAR,MRGE,Medical,NSDQ,700.2
MARKIT LTD,MRKT,Finance,NSDQ,4650.94
MARTEN TRANS,MRTN,Transportation,NSDQ,621.95
MIRATI THERAPTC,MRTX,Medical,NSDQ,390.01
MARVELL TECH GP,MRVL,Computer and Technology,NSDQ,6475.18
MICROSEMI CORP,MSCC,Computer and Technology,NSDQ,3149.72
MIDDLESEX WATER,MSEX,Utilities,NSDQ,368.05
MAINSOURCE FINL,MSFG,Finance,NSDQ,472.94
MICROSOFT CORP,MSFT,Computer and Technology,NSDQ,373825.66
MICROSTRATEGY,MSTR,Computer and Technology,NSDQ,2450.41
AMER CAP MTGE,MTGE,Finance,NSDQ,804.23
MATERIALISE NV,MTLS,Computer and Technology,NSDQ,396.82
MATRIX SERVICE,MTRX,Oils-Energy,NSDQ,522.62
MTS SYSTEMS,MTSC,Computer and Technology,NSDQ,932.13
MA-COM TECH SOL,MTSI,Computer and Technology,NSDQ,1755.21
MICRON TECH,MU,Computer and Technology,NSDQ,19978.56
MAXIM INTG PDTS,MXIM,Computer and Technology,NSDQ,9712.83
MYRIAD GENETICS,MYGN,Medical,NSDQ,2148.81
MYLAN NV,MYL,Medical,NSDQ,27694.11
MYR GROUP INC,MYRG,Utilities,NSDQ,611.95
NANOMETRICS INC,NANO,Computer and Technology,NSDQ,329.56
NATL INSTRS CP,NATI,Computer and Technology,NSDQ,3782.04
NATL INTERST CP,NATL,Finance,NSDQ,512.64
NAVIGATORS GRP,NAVG,Finance,NSDQ,1126.55
NAVIENT CORP,NAVI,Finance,NSDQ,5838.65
NEWBRIDGE BANC,NBBC,Finance,NSDQ,303.19
NEUROCRINE BIOS,NBIX,Medical,NSDQ,3990.52
NBT BANCORP INC,NBTB,Finance,NSDQ,1184.53
NORWEGIAN CRUIS,NCLH,Consumer Discretionary,NSDQ,14028.23
NATL CINEMEDIA,NCMI,Business Services,NSDQ,915.84
NASDAQ OMX GRP,NDAQ,Finance,NSDQ,8955.12
NOODLES & CO,NDLS,Retail-Wholesale,NSDQ,360.17
NEURODERM LTD,NDRM,Medical,NSDQ,376.34
NORDSON CORP,NDSN,Industrial Products,NSDQ,4509.55
NEOGENOMICS INC,NEO,Medical,NSDQ,348.54
NEOGEN CORP,NEOG,Medical,NSDQ,2114.41
NEOS THERAPTCS,NEOS,Medical,NSDQ,327.02
NEWPORT CORP,NEWP,Computer and Technology,NSDQ,621.65
NEWSTAR FIN INC,NEWS,Finance,NSDQ,549.33
