Company Name,Ticker,Sector,Exchange,Market Cap
ARCBEST CORP,ARCB,Transportation,NSDQ,852.25
ARES CAP CP,ARCC,Finance,NSDQ,4943.45
ARDELYX INC,ARDX,Medical,NSDQ,473.93
ARIAD PHARMA,ARIA,Medical,NSDQ,1432.03
AMER RAILCAR,ARII,Transportation,NSDQ,834.65
ALLIANCE RES,ARLP,Oils-Energy,NSDQ,1745.67
ARM HOLDNGS ADR,ARMH,Computer and Technology,NSDQ,20978.5
ARENA PHARMA,ARNA,Medical,NSDQ,851.98
ARROW FINL CORP,AROW,Finance,NSDQ,350.79
ARRIS GROUP INC,ARRS,Computer and Technology,NSDQ,4032.69
ARRAY BIOPHARMA,ARRY,Medical,NSDQ,811.51
ARROWHEAD RSRCH,ARWR,Medical,NSDQ,363.53
ASCENT CAP GRP,ASCMA,Industrial Products,NSDQ,515.15
ASM INTL NV,ASMI,Computer and Technology,NSDQ,2507.52
ASML HOLDING NV,ASML,Computer and Technology,NSDQ,41760.42
ASCENA RETAIL,ASNA,Retail-Wholesale,NSDQ,2024.34
ASCENDIS PHARMA,ASND,Medical,NSDQ,460.99
ALTISOURCE PORT,ASPS,Finance,NSDQ,581.75
ASTEC INDS INC,ASTE,Industrial Products,NSDQ,874.73
AMERICA FST TAX,ATAX,Finance,NSDQ,324.16
ATHENAHEALTH IN,ATHN,Medical,NSDQ,5229.27
ATMEL CORP,ATML,Computer and Technology,NSDQ,3380.76
ATLANTIC TELE-N,ATNI,Utilities,NSDQ,1142.53
ATARA BIOTHERP,ATRA,Medical,NSDQ,1440.62
ATRICURE INC,ATRC,Medical,NSDQ,769.07
ATRION CORP,ATRI,Medical,NSDQ,718.68
ASTRONICS CORP,ATRO,Aerospace,NSDQ,1162.68
ANTARES PHARMA,ATRS,Medical,NSDQ,301.98
AIR TRANSPT SVC,ATSG,Transportation,NSDQ,636.69
ACTIVISION BLZD,ATVI,Consumer Discretionary,NSDQ,20899.63
AEROVIRONMENT,AVAV,Aerospace,NSDQ,608.01
AVAGO TECHNOLOG,AVGO,Computer and Technology,NSDQ,31829.91
AV HOMES INC,AVHI,Finance,NSDQ,326.16
AVID TECH INC,AVID,Computer and Technology,NSDQ,452.73
HOMEAWAY INC,AWAY,Consumer Discretionary,NSDQ,2920.9
ACCELERATE DIAG,AXDX,Medical,NSDQ,1031.76
AMAYA INC,AYA,Computer and Technology,NSDQ,2984.43
ASPEN TECH INC,AZPN,Computer and Technology,NSDQ,3595.52
NATUS MEDICAL,BABY,Medical,NSDQ,1479.8
BANCFIRST OKLA,BANF,Finance,NSDQ,989.9
BANNER CORP,BANR,Finance,NSDQ,989.83
BED BATH&BEYOND,BBBY,Retail-Wholesale,NSDQ,10735.43
BBCN BANCORP,BBCN,Finance,NSDQ,1233.82
BREITBURN EGY,BBEP,Oils-Energy,NSDQ,641.29
BLACKBERRY LTD,BBRY,Computer and Technology,NSDQ,4009.5
B COMMUNICATION,BCOM,Utilities,NSDQ,582.15
BLUCORA INC,BCOR,Computer and Technology,NSDQ,559.96
BALCHEM CP CL-B,BCPC,Basic Materials,NSDQ,1918.87
BIOCRYST PHARMA,BCRX,Medical,NSDQ,790.48
BOULDER BRANDS,BDBD,Consumer Staples,NSDQ,566.84
BLACK DIAMOND,BDE,Consumer Discretionary,NSDQ,306.18
BRIDGE BANCORP,BDGE,Finance,NSDQ,324.13
BIODELIVERY SCI,BDSI,Medical,NSDQ,364.85
BIOTELEMETRY,BEAT,Medical,NSDQ,331.65
B/E AEROSPACE,BEAV,Aerospace,NSDQ,5349.54
BEACON ROOFING,BECN,Retail-Wholesale,NSDQ,1720.96
BGC PARTNRS INC,BGCP,Finance,NSDQ,2395.55
BLUE HILLS BCP,BHBK,Finance,NSDQ,411.06
BAIDU INC,BIDU,Computer and Technology,NSDQ,61893.88
BIOGEN INC,BIIB,Medical,NSDQ,72667.23
BJ'S RESTAURANT,BJRI,Retail-Wholesale,NSDQ,1252.3
BLACKROCK KELSO,BKCC,Finance,NSDQ,701.18
BANK MUTUAL CRP,BKMU,Finance,NSDQ,335.28
BELLICUM PHARM,BLCM,Medical,NSDQ,476.12
BUILDERS FIRSTS,BLDR,Retail-Wholesale,NSDQ,1584.17
BLACKBAUD INC,BLKB,Computer and Technology,NSDQ,2781.03
BLOOMIN BRANDS,BLMN,Retail-Wholesale,NSDQ,2778.17
BLUEBIRD BIO,BLUE,Medical,NSDQ,5517.57
BIOMARIN PHARMA,BMRN,Medical,NSDQ,21549.44
BRYN MAWR BK CP,BMTC,Finance,NSDQ,520.77
BENEFICIAL BCP,BNCL,Finance,NSDQ,1061.8
BNC BANCORP,BNCN,Finance,NSDQ,858.79
BENEFITFOCUS,BNFT,Computer and Technology,NSDQ,1082.87
BOB EVANS FARMS,BOBE,Retail-Wholesale,NSDQ,1051.41
BOFI HLDG INC,BOFI,Finance,NSDQ,2039.2
BOJANGLES INC,BOJA,Retail-Wholesale,NSDQ,894.1
BOK FINL CORP,BOKF,Finance,NSDQ,4575.19
BONA FILM-ADR,BONA,Consumer Discretionary,NSDQ,742.34
BOSTON PRIV FIN,BPFH,Finance,NSDQ,1042.58
BLUEPRINT MED,BPMC,Medical,NSDQ,717.9
POPULAR INC,BPOP,Finance,NSDQ,3172.4
BROCADE COMM SY,BRCD,Computer and Technology,NSDQ,4209.39
