Company Name,Ticker,Sector,Market Cap,Exchange
AMIRA NATURE FD,ANFI,Consumer Staples,341.15,NYSE
ANWORTH MTGE,ANH,Finance,535.58,NYSE
ANN INC,ANN,Retail-Wholesale,2107.01,NYSE
ANTHEM INC,ANTM,Medical,39926.03,NYSE
AEGEAN MARINE,ANW,Transportation,552.07,NYSE
AON PLC,AON,Finance,28373.96,NYSE
SMITH (AO) CORP,AOS,Industrial Products,6331.42,NYSE
APACHE CORP,APA,Oils-Energy,17387.85,NYSE
ARTISAN PTNR AM,APAM,Finance,3406.09,NYSE
ANADARKO PETROL,APC,Oils-Energy,37110.28,NYSE
AIR PRODS & CHE,APD,Basic Materials,31428.22,NYSE
AMPHENOL CORP-A,APH,Computer and Technology,17163.71,NYSE
APPLE HOSP REIT,APLE,Finance,3366.91,NYSE
APOLLO GLOBAL-A,APO,Finance,3610.13,NYSE
AMERIGAS PARTNR,APU,Oils-Energy,4193.05,NYSE
ANTERO RESOURCE,AR,Oils-Energy,7194.34,NYSE
ARC DOC SOLUT,ARC,Industrial Products,324.33,NYSE
ARCOS DORADOS-A,ARCO,Retail-Wholesale,893.42,NYSE
ALEXANDRIA REAL,ARE,Finance,6696.44,NYSE
ARES MANAGEMENT,ARES,Finance,1535.92,NYSE
AIRGAS INC,ARG,Basic Materials,7740.66,NYSE
APOLLO COMMERCL,ARI,Finance,985.11,NYSE
ARAMARK HOLDING,ARMK,Consumer Staples,7705.61,NYSE
ATLAS RES PTNRS,ARP,Oils-Energy,340.15,NYSE
AMERICAN RES PR,ARPI,Finance,573.07,NYSE
ARMOUR RES REIT,ARR,Finance,967.63,NYSE
ARROW ELECTRONI,ARW,Computer and Technology,5480.14,NYSE
ASSOC BANC CORP,ASB,Finance,2962.18,NYSE
ARDMORE SHIPPIN,ASC,Transportation,342.95,NYSE
ON ASSIGNMENT,ASGN,Business Services,2032,NYSE
ASHLAND INC,ASH,Basic Materials,7690.88,NYSE
GRUPO AEROP-ADR,ASR,Transportation,4334.45,NYSE
ADV SEMICON ADR,ASX,Computer and Technology,8414.11,NYSE
ATLANTIC PWR CP,AT,Utilities,284.01,NYSE
ADVANTEST ADR,ATE,Computer and Technology,1511.8,NYSE
A10 NETWORKS,ATEN,Computer and Technology,426.4,NYSE
AUTOHOME INC,ATHM,Computer and Technology,4001.59,NYSE
ALLEGHENY TECH,ATI,Basic Materials,2289.04,NYSE
ATMOS ENERGY CP,ATO,Utilities,5619.69,NYSE
APTARGROUP INC,ATR,Industrial Products,4319.74,NYSE
ATENTO SA,ATTO,Business Services,895.22,NYSE
ACTUANT CORP,ATU,Industrial Products,1365.04,NYSE
ATWOOD OCEANICS,ATW,Oils-Energy,1286.59,NYSE
ANGLOGOLD LTD,AU,Basic Materials,2317.82,NYSE
AU OPTRONCS-ADR,AUO,Computer and Technology,3060.51,NYSE
